Offense Code,Offense_Category,Suggested Bin,Offense,Citation,Statute,L/D
14990003,1000,bin_10_abortion_fail_render_newborn,FAIL PROVIDE MEDICAL TO LIVE BORN CHILD,151.002(g),FC,F3
16020002,1100,,,,,
16020004,1100,,,,,
16020008,1100,bin_11_terrorism,TERRORISTIC THREAT REACTION EMERGENCY AGENCY,22.07(b),PC,MB
16020009,1100,bin_11_terrorism,TERRORISTIC THREAT CAUSE FEAR OF IMMINENT SBI,22.07(c),PC,MB
16020010,1100,bin_11_terrorism,TERRORISTIC THREAT OF FAMILY/HOUSEHOLD,22.07(c)(1),PC,MA
16020011,1100,bin_11_terrorism,TERRORISTIC THREAT AGAINST PUBLIC SERVANT,22.07(c)(2),PC,MA
16020012,1100,bin_11_terrorism,TERRORISTIC THREAT INTERRUPT PUBLIC PLACE,22.07(d),PC,MA
16020013,1100,bin_11_terrorism,TERROR THREAT CAUSES PECUNIARY LOSS OF >$1500,22.07(d),PC,FS
16020014,1100,bin_11_terrorism,TERR THREAT IMP PUB SERV/PUB FEAR SBI/INFLU GV,22.07(e),PC,F3
16020015,1100,bin_11_terrorism,TERRORISTIC THREAT AGAINST PEACE OFFICER/JUDGE,22.07(c-1),PC,FS
16020016,1100,bin_11_terrorism,THREATEN EXHIBIT/USE FIREARM SCHOOL/BUS,37.125(c),EDC,MA
16029999,1100,bin_11_terrorism,THREAT CLASS C,CLASS C,X,MC
20000001,1200,,,,,
20020000,1200,,,,,
20110000,1200,,,,,
20990001,1200,,,,,
20990002,1200,,,,,
20990003,1200,,,,,
20990004,1200,bin_12_arson,ARSON CAUSING BODILY INJURY/DEATH IAT,28.02(d)(1),PC,F1
20990005,1200,bin_12_arson,ARSON INTEND DAMAGE HAB/PLACE OF WORSHIP IAT,28.02(d)(2),PC,F1
20990006,1200,,,,,
20990009,1200,bin_12_arson,ARSON RECK DAMAGE BLDG/RECK CAUSE BI OR DEATH,28.02(f),PC,FS
20990010,1200,bin_12_arson,ARSON,28.02(d),PC,F2
20990011,1200,bin_12_arson,ARSON W/MAN OR ATT MAN CONT SUB BI/DEATH IAT,28.02(e),PC,F3
20990012,1200,bin_12_arson,ARSON W/MAN/ATT MAN CONT SUB DMGE BLDG/HAB/VEH,28.02(e),PC,FS
21990001,1300,bin_13_electronic_tampering,ELECTR DATA TAMPER RESTR ACCESS <$2500 IAT,33.023(d-2)(1),PC,FS
21990002,1300,bin_13_electronic_tampering,ELECTR DATA TAMPR RESTR ACCSS >=$2500<$30K IAT,33.023(d-2)(2)(A),PC,F3
21990003,1300,bin_13_electronic_tampering,ELECTR DATA TAMPR RESTR ACCESS CLIENT HARM IAT,33.023(d-2)(2)(B),PC,F3
21990004,1300,bin_13_electronic_tampering,ELECTR DATA TAMPR RESTR ACCSS >=$30K<$150K IAT,33.023(d-2)(3)(A),PC,F2
21990005,1300,bin_13_electronic_tampering,ELECTR DATA TAMPER RESTR ACCESS CLIENT BI IAT,33.023(d-2)(3)(B),PC,F2
21990006,1300,bin_13_electronic_tampering,ELECTR DATA TAMPER RESTR ACCESS >=$150K IAT,33.023(d-2)(4)(A),PC,F1
21990007,1300,bin_13_electronic_tampering,ELECTR DATA TAMPR RESTR ACCSS CLNT SBI/DTH IAT,33.023(d-2)(4)(B),PC,F1
22000001,1500,,,,,
22000002,1500,,,,,
22000003,1500,,,,,
22000004,1500,,,,,
22000006,1500,,,,,
22060001,1400,bin_14_unlawful_use_of_item,UNL USE OF CRIMINAL INSTRUMENT,16.01,PC,MB
22060004,1400,bin_14_unlawful_use_of_item,UNL USE OF CRIMINAL INSTRUMENT,16.01,PC,MA
22060005,1400,bin_14_unlawful_use_of_item,UNL USE OF CRIMINAL INSTRUMENT,16.01,PC,F3
22060006,1400,bin_14_unlawful_use_of_item,UNL USE OF CRIMINAL INSTRUMENT,16.01,PC,F2
22060009,1400,bin_14_unlawful_use_of_item,UNL USE OF CRIMINAL INSTRUMENT,16.01,PC,FS
22080000,1500,,,,,
22090000,1500,,,,,
22100000,1500,,,,,
22110000,1500,,,,,
22120000,1500,,,,,
22130000,1500,,,,,
22140000,1500,,,,,
22150000,1500,,,,,
22160000,1500,,,,,
22990001,1500,bin_15_burglary,BURGLARY OF BUILDING,30.02(c)(1),PC,FS
22990002,1500,bin_15_burglary,BURGLARY OF HABITATION,30.02(c)(2),PC,F2
22990003,1500,bin_15_burglary,BURGLARY HABITATION INTEND OTHER FELONY,30.02(d),PC,F1
22990004,1500,,,,,
22990005,1500,bin_15_burglary,BURGLARY OF COIN OPERATED/COLLECTION MACHINE,30.03,PC,MA
22990007,1500,bin_15_burglary,BURGLARY HABITATION INTEND SEX OFFENSE,30.02(d),PC,F1
22990008,1500,bin_15_burglary,BURGLARY OF VEHICLE W/2+ CONV IAT,30.04(d)(2)(A),PC,FS
22990009,1500,bin_15_burglary,BURGLARY OF BUILDING CNTRLLD SUBSTANCE PRESENT,30.02(c-1)(1),PC,F3
22990010,1500,bin_15_burglary,BURGLARY OF BLDNG ENTER/CONCEAL INTND THEFT CS,30.02(c-1)(2),PC,F3
22990011,1500,bin_15_burglary,BURGLARY OF VEHICLES,30.04(d),PC,MA
22990012,1500,bin_15_burglary,BURGLARY OF VEHICLES RAIL CAR,30.04(d)(2)(B),PC,FS
22990013,1500,bin_15_burglary,BURGLARY OF VEHICLES PRES DRUG DISTRIB INTENT,30.04(d)(3),PC,F3
23000026,1600,,,,,
23000032,1600,,,,,
23030001,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$100<$750,31.16(c)(2),PC,MB
23030002,1600,bin_16_theft,"ORGANIZED RETAIL THEFT >=$750<$2,500",31.16(c)(3),PC,MA
23030003,1600,bin_16_theft,"ORGANIZED RETAIL THEFT >=$2,500<$30K",31.16(c)(4),PC,FS
23030004,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$30K<$150K,31.16(c)(5),PC,F3
23030005,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$150K<$300K,31.16(c)(6),PC,F2
23030006,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$300K,31.16(c)(7),PC,F1
23030007,1600,bin_16_theft,ORGANIZED RETAIL THEFT >$100 ENH IAT,31.16(d),PC,MB
23030008,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$100<$750 ENH IAT,31.16(d),PC,MA
23030009,1600,bin_16_theft,"ORGANIZED RETAIL THEFT >=$750<$2,500 ENH IAT",31.16(d),PC,FS
23030010,1600,bin_16_theft,"ORGANIZED RETAIL THEFT >=$2,500<$30K ENH IAT",31.16(d),PC,F3
23030011,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$30K<$150K ENH IAT,31.16(d),PC,F2
23030012,1600,bin_16_theft,ORGANIZED RETAIL THEFT >=$150K<$300K ENH IAT,31.16(d),PC,F1
23110002,1600,bin_16_theft,CURRENCY EXCHANGE/TRANSPORT VIOLATION,153.401,FNC,F3
23160001,1600,bin_16_theft,THEFT-MAIL <=10 ADDRESSES,31.20(c)(1),PC,MA
23160002,1600,bin_16_theft,THEFT-MAIL =10<30 ADDRESSES,31.20(c)(2),PC,FS
23160003,1600,bin_16_theft,THEFT-MAIL =>30 ADDRESSES,31.20(c)(3),PC,F3
23160004,1600,bin_16_theft,THEFT-MAIL ID INFO <=10 ADDRESSES IAT,31.20(d)(1),PC,FS
23160005,1600,bin_16_theft,THEFT-MAIL ID INFO =10<20 ADDRESSES IAT,31.20(d)(2),PC,F3
23160006,1600,bin_16_theft,THEFT-MAIL ID INFO =20<50 ADDRESSES IAT,31.20(d)(3),PC,F2
23160007,1600,bin_16_theft,THEFT-MAIL ID INFO =>50 ADDRESSES IAT,31.20(d)(4),PC,F1
23160008,1600,bin_16_theft,THEFT-MAIL ID INFO <=10 ADDRESSES ENH IAT,31.20(e),PC,F3
23160009,1600,bin_16_theft,THEFT-MAIL ID INFO =10<20 ADDRESSES ENH IAT,31.20(e),PC,F2
23160010,1600,bin_16_theft,THEFT-MAIL ID INFO =20<50 ADDRESSES ENH IAT,31.20(e),PC,F1
23170000,1600,,,,,
23190000,1600,,,,,
23210000,1600,,,,,
23270000,1600,,,,,
23990004,1600,,,,,
23990008,1600,bin_16_theft,THEFT OF FIREARM,31.03(e)(4)(C),PC,FS
23990009,1600,,,,,
23990010,1600,,,,,
23990011,1600,,,,,
23990012,1600,bin_16_theft,HARVEST STANDING TIMBER >= $500 < $20K,151.052(b)(1),NRC,FS
23990013,1600,,,,,
23990023,1600,,,,,
23990029,1600,,,,,
23990030,1600,,,,,
23990031,1600,,,,,
23990032,1600,,,,,
23990046,1600,,,,,
23990047,1600,bin_16_theft,HARVEST STANDING TIMBER >= $20K < $100K,151.052(b)(2),NRC,F3
23990063,1600,,,,,
23990065,1600,bin_16_theft,THEFT OF TRADE SECRETS,31.05,PC,F3
23990066,1600,bin_16_theft,TAMPER W/ IDENTIFICATION NUMBERS,31.11(a),PC,MA
23990074,1600,bin_16_theft,MAN SALE DISTRIBUTE TV DECODING/CABLE,31.13(d),PC,MA
23990086,1600,bin_16_theft,HARVEST STANDING TIMBER >= $100K < $200K,151.052(b)(3),NRC,F2
23990087,1600,,,,,
23990088,1600,,,,,
23990093,1600,,,,,
23990095,1600,bin_16_theft,TELECOMM ACCESS DEVICE PUBLICATION,33A.05,PC,MA
23990096,1600,bin_16_theft,TELECOMM ACCESS DEVICE PUBLICATION ENH,33A.05(b),PC,F3
23990097,1600,bin_16_theft,TELECOMM DEVICE MAN/POSS/DEL,33A.03,PC,F3
23990098,1600,bin_16_theft,TELECOMM SERVICE THEFT <$500,33A.04(b)(1),PC,MB
23990099,1600,bin_16_theft,TELECOMM SERVICE THEFT >=$500<$1500,33A.04(b)(2)(A),PC,MA
23990100,1600,bin_16_theft,TELECOMM SERVICE THEFT <$500 W/PREV CONV,33A.04(b)(2)(B),PC,MA
23990101,1600,bin_16_theft,TELECOMM SERVICE THEFT >=$1500<$20K,33A.04(b)(3)(A),PC,FS
23990102,1600,bin_16_theft,TELECOMM SERVICE THEFT <$1500 W/2 PREV CONV,33A.04(b)(3)(B),PC,FS
23990103,1600,bin_16_theft,TELECOMM SERVICE THEFT >=$20K<$100K,33A.04(b)(4),PC,F3
23990104,1600,bin_16_theft,TELECOMM SERVICE THEFT >=$100K<$200K,33A.04(b)(5),PC,F2
23990105,1600,bin_16_theft,TELECOMM SERVICE THEFT >=$200K,33A.04(b)(6),PC,F1
23990106,1600,bin_16_theft,TELECOMM SERVICE UNAUTH <$500,33A.02(b)(1),PC,MB
23990107,1600,bin_16_theft,TELECOMM SERVICE UNAUTH >=$500<$1500,33A.02(b)(2)(A),PC,MA
23990108,1600,bin_16_theft,TELECOMM SERVICE UNAUTH <$500 W/PREV CONV,33A.02(b)(2)(B),PC,MA
23990109,1600,bin_16_theft,TELECOMM SERVICE UNAUTH >=$1500<$20K,33A.02(b)(3)(A),PC,FS
23990110,1600,bin_16_theft,TELECOMM SERVICE UNAUTH <$1500 W/2 PREV CONV,33A.02(b)(3)(B),PC,FS
23990111,1600,bin_16_theft,TELECOMM SERVICE UNAUTH >$20K<100K,33A.02(b)(4),PC,F3
23990112,1600,bin_16_theft,TELECOMM SERVICE UNAUTH >=$100K<$200K,33A.02(b)(5),PC,F2
23990113,1600,bin_16_theft,TELECOMM SERVICE UNAUTH >=$200K,33A.02(b)(6),PC,F1
23990115,1600,bin_16_theft,THEFT TAMPER W/MULTICHANNEL VIDEO W/PREV CONV,31.12,PC,MB
23990116,1600,bin_16_theft,THEFT TAMPER W/MULTICHANNEL VIDEO REMUN,31.12,PC,MA
23990117,1600,bin_16_theft,MAN/DISTRIBUTE/ADVERTIZE MULTICHANNEL VIDEO,31.13,PC,MA
23990118,1600,bin_16_theft,SALE LEASE MULTICHANNEL VIDEO,31.14,PC,MA
23990119,1600,bin_16_theft,POSS MAN/DISTR INSTR TO COMMIT RETAIL THEFT,31.15,PC,MA
23990132,1600,bin_16_theft,THEFT FROM PERSON,31.03(e)(4)(B),PC,FS
23990138,1600,bin_16_theft,THEFT/TAMPER MULTICHANNEL VIDEO REMUNERATION,31.12(d)(2),PC,MA
23990139,1600,bin_16_theft,THEFT/TAMPER MULTICHANNEL REMUNERATION W/2+CON,31.12(d)(2),PC,MA
23990140,1600,,,,,
23990142,1600,bin_16_theft,THEFT PROP GRAVE/HUMAN CORPSE/MILITARY MARKER,31.03(e)(4)(B),PC,FS
23990143,1600,,,,,
23990144,1600,bin_16_theft,THEFT OF DL/COMM DL/ID CERTIFICATE,31.03(e)(2)(C),PC,MB
23990145,1600,bin_16_theft,THEFT OYSTERS FROM PRIVATE BED,76.040(b),PWC,MB
23990146,1600,bin_16_theft,THEFT OYSTERS FROM PRIVATE BED PREV CONV,76.040(c),PWC,MA
23990147,1600,bin_16_theft,THEFT OYSTERS FROM PRIVATE BED 2+ PREV CONV,76.040(d),PWC,F*
23990148,1600,bin_16_theft,THEFT OF DL/COMM DL/ID CERTIFICATE ENH IAT,31.03(f),PC,MA
23990149,1600,bin_16_theft,THEFT PROP GRAVE/CORPSE/MILITARY MKR ENH IAT,31.03(f),PC,F3
23990150,1600,,,,,
23990152,1600,,,,,
23990153,1600,,,,,
23990154,1600,bin_16_theft,THEFT OF FIREARM ENH IAT,31.03(f),PC,F3
23990157,1600,,,,,
23990161,1600,,,,,
23990162,1600,,,,,
23990163,1600,,,,,
